Month,India Tech Normal,India Tech After Hours,USA Tech,Systems Architect,Monthly Total
2023-05,0.33,1.58,26.6,0.0,28.51
2023-06,12.19,18.67,49.78,0.0,80.64
2023-07,11.24,19.45,35.21,0.0,65.9
2023-08,40.83,45.81,27.04,0.0,113.68
2023-09,67.0,84.44,13.0,0.0,164.44
2023-10,31.35,49.98,14.58,0.0,95.91
2023-11,47.37,47.18,25.99,0.0,120.54
2023-12,45.97,42.92,11.25,0.0,100.14
2024-01,51.87,54.17,8.0,0.0,114.04
2024-02,43.02,43.93,11.75,0.0,98.7
2024-03,54.24,56.76,17.5,0.0,128.5
2024-04,52.66,63.85,12.75,0.0,129.26
2024-05,74.1,66.08,16.25,0.0,156.43
2024-06,40.77,43.42,10.75,0.0,94.94
2024-07,29.85,46.17,4.75,0.0,80.77
2024-08,54.26,54.11,9.59,0.0,117.96
2024-09,46.98,46.1,6.25,0.0,99.33
2024-10,49.73,29.67,9.0,0.0,88.4
2024-11,50.06,35.92,14.75,0.0,100.73
2024-12,60.85,70.22,23.42,0.0,154.49
2025-01,58.01,56.22,16.5,0.0,130.73
2025-02,57.67,47.26,5.75,0.0,110.68
2025-03,68.93,43.96,17.67,0.0,130.56
2025-04,49.78,48.53,24.0,0.0,122.31
2025-05,48.85,39.0,16.5,0.0,104.35
2025-06,56.29,63.13,16.17,0.0,135.59
2025-07,60.95,51.75,24.0,0.0,136.7
2025-08,72.01,39.48,28.25,0.0,139.74
2025-09,39.95,80.73,37.75,0.0,158.43
2025-10,0.0,20.84,26.5,0.0,47.34
2025-11,0.0,72.04,4.5,0.0,76.54
2025-12,41.54,47.15,4.42,0.0,93.11
2026-01,54.22,69.36,44.5,0.0,168.08
2026-02,44.29,46.68,27.86,0.0,118.83
2026-03,67.94,55.68,18.25,0.0,141.87
2026-04,41.62,45.72,14.59,0.0,101.93
