Month,India Tech Normal,India Tech After Hours,USA Tech,Systems Architect,Cumulative Total
2023-05,0.33,1.58,26.6,0.0,28.51
2023-06,12.52,20.25,76.38,0.0,109.15
2023-07,23.76,39.7,111.59,0.0,175.05
2023-08,64.59,85.51,138.63,0.0,288.73
2023-09,131.59,169.95,151.63,0.0,453.17
2023-10,162.94,219.93,166.21,0.0,549.08
2023-11,210.31,267.11,192.2,0.0,669.62
2023-12,256.28,310.03,203.45,0.0,769.76
2024-01,308.15,364.2,211.45,0.0,883.8
2024-02,351.17,408.13,223.2,0.0,982.5
2024-03,405.41,464.89,240.7,0.0,1111.0
2024-04,458.07,528.74,253.45,0.0,1240.26
2024-05,532.17,594.82,269.7,0.0,1396.69
2024-06,572.94,638.24,280.45,0.0,1491.63
2024-07,602.79,684.41,285.2,0.0,1572.4
2024-08,657.05,738.52,294.79,0.0,1690.36
2024-09,704.03,784.62,301.04,0.0,1789.69
2024-10,753.76,814.29,310.04,0.0,1878.09
2024-11,803.82,850.21,324.79,0.0,1978.82
2024-12,864.67,920.43,348.21,0.0,2133.31
2025-01,922.68,976.65,364.71,0.0,2264.04
2025-02,980.35,1023.91,370.46,0.0,2374.72
2025-03,1049.28,1067.87,388.13,0.0,2505.28
2025-04,1099.06,1116.4,412.13,0.0,2627.59
2025-05,1147.91,1155.4,428.63,0.0,2731.94
2025-06,1204.2,1218.53,444.8,0.0,2867.53
2025-07,1265.15,1270.28,468.8,0.0,3004.23
2025-08,1337.16,1309.76,497.05,0.0,3143.97
2025-09,1377.11,1390.49,534.8,0.0,3302.4
2025-10,1377.11,1411.33,561.3,0.0,3349.74
2025-11,1377.11,1483.37,565.8,0.0,3426.28
2025-12,1418.65,1530.52,570.22,0.0,3519.39
2026-01,1472.87,1599.88,614.72,0.0,3687.47
2026-02,1517.16,1646.56,642.58,0.0,3806.3
2026-03,1585.1,1702.24,660.83,0.0,3948.17
2026-04,1626.72,1747.96,675.42,0.0,4050.1
