Type,ID,InvoiceNo,InvoiceDate,DueDate,Status,InvoiceType,Title,HasAttachment
Weekly,36159,4250,2023-05-05,2023-06-04,Paid,Weekly,Weekly Invoice,0
Weekly,36225,4293,2023-05-12,2023-06-11,Paid,Weekly,Weekly Invoice,0
Weekly,36264,4336,2023-05-19,2023-06-18,Paid,Weekly,Weekly Invoice,0
Weekly,36302,4377,2023-05-26,2023-06-25,Paid,Weekly,Weekly Invoice,0
Weekly,36410,4478,2023-06-02,2023-07-02,Paid,Weekly,Weekly Invoice,0
Weekly,36492,4550,2023-06-09,2023-07-09,Paid,Weekly,Weekly Invoice,0
Weekly,36538,4597,2023-06-16,2023-07-16,Paid,Weekly,Weekly Invoice,0
Weekly,36583,4644,2023-06-23,2023-07-23,Paid,Weekly,Weekly Invoice,0
Weekly,36635,4690,2023-06-30,2023-07-30,Paid,Weekly,Weekly Invoice,0
Weekly,36741,4789,2023-07-07,2023-08-06,Paid,Weekly,Weekly Invoice,0
Weekly,36785,4833,2023-07-14,2023-08-13,Paid,Weekly,Weekly Invoice,0
Weekly,36823,4872,2023-07-21,2023-08-20,Paid,Weekly,Weekly Invoice,0
Weekly,36871,4912,2023-07-28,2023-08-27,Paid,Weekly,Weekly Invoice,0
Weekly,36980,5021,2023-08-04,2023-09-03,Paid,Weekly,Weekly Invoice,0
Weekly,37018,5055,2023-08-11,2023-09-10,Paid,Weekly,Weekly Invoice,0
Weekly,37066,5105,2023-08-18,2023-09-17,Paid,Weekly,Weekly Invoice,0
Weekly,37105,5151,2023-08-25,2023-09-24,Paid,Weekly,Weekly Invoice,0
Weekly,37224,5261,2023-09-01,2023-10-01,Paid,Weekly,Weekly Invoice,0
Weekly,37264,5302,2023-09-08,2023-10-08,Paid,Weekly,Weekly Invoice,0
Weekly,37322,5338,2023-09-15,2023-10-15,Paid,Weekly,Weekly Invoice,0
Weekly,37373,5385,2023-09-22,2023-10-22,Paid,Weekly,Weekly Invoice,0
Weekly,37416,5425,2023-09-29,2023-10-29,Paid,Weekly,Weekly Invoice,0
Weekly,37518,5523,2023-10-06,2023-11-05,Paid,Weekly,Weekly Invoice,0
Weekly,37563,5569,2023-10-13,2023-11-12,Paid,Weekly,Weekly Invoice,0
Weekly,37616,5616,2023-10-20,2023-11-19,Paid,Weekly,Weekly Invoice,0
Weekly,37658,5671,2023-10-27,2023-11-26,Paid,Weekly,Weekly Invoice,0
Weekly,37779,5781,2023-11-03,2023-12-03,Paid,Weekly,Weekly Invoice,0
Weekly,37830,5828,2023-11-10,2023-12-10,Paid,Weekly,Weekly Invoice,0
Weekly,37875,5865,2023-11-17,2023-12-17,Paid,Weekly,Weekly Invoice,0
Weekly,37915,5905,2023-11-24,2023-12-24,Paid,Weekly,Weekly Invoice,0
Weekly,38022,6013,2023-12-01,2023-12-31,Paid,Weekly,Weekly Invoice,0
Weekly,38062,8021,2023-12-08,2024-01-07,Paid,Weekly,Weekly Invoice,0
Weekly,38100,8226,2023-12-15,2024-01-14,Paid,Weekly,Weekly Invoice,0
Weekly,38162,8271,2023-12-22,2024-01-21,Paid,Weekly,Weekly Invoice,0
Weekly,38209,8316,2023-12-29,2024-01-28,Paid,Weekly,Weekly Invoice,0
Weekly,38368,8466,2024-01-05,2024-02-04,Paid,Weekly,Weekly Invoice,0
Weekly,38426,8527,2024-01-12,2024-02-11,Paid,Weekly,Weekly Invoice,0
Weekly,38486,8584,2024-01-19,2024-02-18,Paid,Weekly,Weekly Invoice,0
Weekly,38542,8639,2024-01-26,2024-02-25,Paid,Weekly,Weekly Invoice,0
Weekly,38707,8764,2024-02-02,2024-03-03,Paid,Weekly,Weekly Invoice,0
Weekly,38762,8821,2024-02-09,2024-03-10,Paid,Weekly,Weekly Invoice,0
Weekly,38828,8886,2024-02-16,2024-03-17,Paid,Weekly,Weekly Invoice,0
Weekly,38895,8948,2024-02-23,2024-03-24,Paid,Weekly,Weekly Invoice,0
Weekly,38968,9018,2024-03-01,2024-03-31,Paid,Weekly,Weekly Invoice,0
Weekly,39125,9177,2024-03-08,2024-04-07,Paid,Weekly,Weekly Invoice,0
Weekly,39195,9244,2024-03-15,2024-04-14,Paid,Weekly,Weekly Invoice,0
Weekly,39258,9303,2024-03-22,2024-04-21,Paid,Weekly,Weekly Invoice,0
Weekly,39331,9379,2024-03-29,2024-04-28,Paid,Weekly,Weekly Invoice,0
Weekly,39528,9505,2024-04-05,2024-05-05,Paid,Weekly,Weekly Invoice,0
Weekly,39593,9576,2024-04-12,2024-05-12,Paid,Weekly,Weekly Invoice,0
Weekly,39656,9675,2024-04-19,2024-05-19,Paid,Weekly,Weekly Invoice,0
Weekly,39736,9735,2024-04-26,2024-05-26,Paid,Weekly,Weekly Invoice,0
Weekly,39860,9864,2024-05-03,2024-06-02,Paid,Weekly,Weekly Invoice,0
Weekly,39931,9931,2024-05-10,2024-06-09,Paid,Weekly,Weekly Invoice,0
Weekly,39989,9989,2024-05-17,2024-06-16,Paid,Weekly,Weekly Invoice,0
Weekly,40118,10050,2024-05-24,2024-06-23,Paid,Weekly,Weekly Invoice,0
Weekly,40159,10090,2024-05-31,2024-06-30,Paid,Weekly,Weekly Invoice,0
Weekly,40285,10202,2024-06-07,2024-07-07,Paid,Weekly,Weekly Invoice,0
Weekly,40335,10258,2024-06-14,2024-07-14,Paid,Weekly,Weekly Invoice,0
Weekly,40391,10323,2024-06-21,2024-07-21,Paid,Weekly,Weekly Invoice,0
Weekly,40443,10368,2024-06-28,2024-07-28,Paid,Weekly,Weekly Invoice,0
Weekly,40567,10489,2024-07-05,2024-08-04,Paid,Weekly,Weekly Invoice,0
Weekly,40620,10535,2024-07-12,2024-08-11,Paid,Weekly,Weekly Invoice,0
Weekly,40659,10576,2024-07-19,2024-08-18,Paid,Weekly,Weekly Invoice,0
Weekly,40706,10618,2024-07-26,2024-08-25,Paid,Weekly,Weekly Invoice,0
Weekly,40811,10714,2024-08-02,2024-09-01,Paid,Weekly,Weekly Invoice,0
Weekly,40858,10769,2024-08-09,2024-09-08,Paid,Weekly,Weekly Invoice,0
Weekly,40894,10809,2024-08-16,2024-09-15,Paid,Weekly,Weekly Invoice,0
Weekly,40940,10851,2024-08-23,2024-09-22,Paid,Weekly,Weekly Invoice,0
Weekly,40984,10894,2024-08-30,2024-09-29,Paid,Weekly,Weekly Invoice,0
Weekly,41128,10997,2024-09-06,2024-10-06,Paid,Weekly,Weekly Invoice,0
Weekly,41170,11040,2024-09-13,2024-10-13,Paid,Weekly,Weekly Invoice,0
Weekly,41208,11076,2024-09-20,2024-10-20,Paid,Weekly,Weekly Invoice,0
Weekly,41243,11115,2024-09-27,2024-10-27,Paid,Weekly,Weekly Invoice,0
Weekly,41352,11217,2024-10-04,2024-11-03,Paid,Weekly,Weekly Invoice,0
Weekly,41385,11251,2024-10-11,2024-11-10,Paid,Weekly,Weekly Invoice,0
Weekly,41440,11310,2024-10-26,2024-11-25,Paid,Weekly,Weekly Invoice,0
Weekly,41475,11350,2024-11-01,2024-12-01,Paid,Weekly,Weekly Invoice,0
Weekly,41575,11440,2024-11-08,2024-12-08,Paid,Weekly,Weekly Invoice,0
Weekly,41649,11476,2024-11-15,2024-12-15,Paid,Weekly,Weekly Invoice,0
Weekly,41691,11513,2024-11-22,2024-12-22,Paid,Weekly,Weekly Invoice,0
Weekly,41742,11542,2024-11-29,2024-12-29,Paid,Weekly,Weekly Invoice,0
Weekly,41831,11633,2024-12-06,2025-01-05,Paid,Weekly,Weekly Invoice,0
Weekly,41867,11674,2024-12-13,2025-01-12,Paid,Weekly,Weekly Invoice,0
Weekly,41902,11707,2024-12-20,2025-01-19,Paid,Weekly,Weekly Invoice,0
Weekly,41935,11765,2024-12-27,2025-01-26,Paid,Weekly,Weekly Invoice,0
Weekly,42028,11860,2025-01-03,2025-02-02,Paid,Weekly,Weekly Invoice,0
Weekly,42070,11897,2025-01-10,2025-02-09,Paid,Weekly,Weekly Invoice,0
Weekly,42119,11946,2025-01-17,2025-02-16,Paid,Weekly,Weekly Invoice,0
Weekly,42157,11985,2025-01-24,2025-02-23,Paid,Weekly,Weekly Invoice,0
Weekly,42193,12021,2025-01-31,2025-03-02,Paid,Weekly,Weekly Invoice,0
Weekly,42288,12118,2025-02-07,2025-03-09,Paid,Weekly,Weekly Invoice,0
Weekly,42334,12160,2025-02-14,2025-03-16,Paid,Weekly,Weekly Invoice,0
Weekly,42387,11813,2025-02-21,2025-03-23,Paid,Weekly,Weekly Invoice,0
Weekly,42416,11725051,2025-02-28,2025-03-30,Paid,Weekly,Weekly Invoice,0
Weekly,42512,25048,2025-03-07,2025-04-06,Paid,Weekly,Weekly Invoice,0
