Month,POD,Role,Shift,InvDescription,Hours
2023-05,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-1.58
2023-05,CHD-TS1,Support,N,Support Contract  /  / Contracted,-0.33
2023-05,IRV-TS1,Support,AH,Support Contract  /  / Hourly  /  / After-Hours,-1.5
2023-05,IRV-TS1,Support,N,Support Contract  /  / Contracted,-25.1
2023-06,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-18.67
2023-06,CHD-TS1,Support,N,Support Contract  /  / Contracted,-12.19
2023-06,IRV-TS1,Support,AH,Support Contract  /  / Hourly  /  / After-Hours,-6.92
2023-06,IRV-TS1,Support,N,Support Contract  /  / Contracted,-42.86
2023-07,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-19.45
2023-07,CHD-TS1,Support,N,Support Contract  /  / Contracted,-11.24
2023-07,IRV-TS1,Support,AH,Support Contract  /  / Hourly  /  / After-Hours,-8.98
2023-07,IRV-TS1,Support,N,Support Contract  /  / Contracted,-26.23
2023-08,CHD-TS1,Support,AH,Invoice  /  / Contracted  /  / After-Hours,-0.35
2023-08,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-45.46
2023-08,CHD-TS1,Support,N,Support Contract  /  / Contracted,-40.83
2023-08,IRV-TS1,Support,AH,Support Contract  /  / Hourly  /  / After-Hours,-1.5
2023-08,IRV-TS1,Support,N,Support Contract  /  / Contracted,-25.54
2023-09,CHD-TS1,Support,AH,Invoice  /  / Contracted  /  / After-Hours,-17.49
2023-09,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-66.95
2023-09,CHD-TS1,Support,N,Invoice  /  / Contracted,-27.51
2023-09,CHD-TS1,Support,N,Support Contract  /  / Contracted,-39.49
2023-09,IRV-TS1,Support,N,Support Contract  /  / Contracted,-13.0
2023-10,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-49.98
2023-10,CHD-TS1,Support,N,Support Contract  /  / Contracted,-31.35
2023-10,IRV-TS1,Support,N,Support Contract  /  / Contracted,-14.58
2023-11,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-47.18
2023-11,CHD-TS1,Support,N,Support Contract  /  / Contracted,-47.37
2023-11,IRV-TS1,Support,N,Support Contract  /  / Contracted,-25.99
2023-12,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-42.92
2023-12,CHD-TS1,Support,N,Support Contract  /  / Contracted,-45.97
2023-12,IRV-TS1,Support,N,Support Contract  /  / Contracted,-11.25
2024-01,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-54.17
2024-01,CHD-TS1,Support,N,Support Contract  /  / Contracted,-51.87
2024-01,IRV-TS1,Support,N,Support Contract  /  / Contracted,-8.0
2024-02,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-43.93
2024-02,CHD-TS1,Support,N,Support Contract  /  / Contracted,-43.02
2024-02,IRV-TS1,Support,N,Support Contract  /  / Contracted,-11.75
2024-03,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-56.76
2024-03,CHD-TS1,Support,N,Support Contract  /  / Contracted,-54.24
2024-03,IRV-TS1,Support,AH,Support Contract  /  / Hourly  /  / After-Hours,-3.5
2024-03,IRV-TS1,Support,N,Support Contract  /  / Contracted,-14.0
2024-04,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-63.85
2024-04,CHD-TS1,Support,N,Support Contract  /  / Contracted,-52.66
2024-04,IRV-TS1,Support,N,Support Contract  /  / Contracted,-12.75
2024-05,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-66.08
2024-05,CHD-TS1,Support,N,Support Contract  /  / Contracted,-74.1
2024-05,IRV-TS1,Support,AH,Support Contract  /  / Hourly  /  / After-Hours,-2.5
2024-05,IRV-TS1,Support,N,Support Contract  /  / Contracted,-13.75
2024-06,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-43.42
2024-06,CHD-TS1,Support,N,Support Contract  /  / Contracted,-40.77
2024-06,IRV-TS1,Support,N,Support Contract  /  / Contracted,-10.75
2024-07,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-46.17
2024-07,CHD-TS1,Support,N,Support Contract  /  / Contracted,-29.85
2024-07,IRV-TS1,Support,N,Support Contract  /  / Contracted,-4.75
2024-08,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-54.11
2024-08,CHD-TS1,Support,N,Support Contract  /  / Contracted,-54.26
2024-08,IRV-TS1,Support,N,Support Contract  /  / Contracted,-9.59
2024-09,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-46.1
2024-09,CHD-TS1,Support,N,Support Contract  /  / Contracted,-46.98
2024-09,IRV-TS1,Support,N,Support Contract  /  / Contracted,-6.25
2024-10,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-29.67
2024-10,CHD-TS1,Support,N,Support Contract  /  / Contracted,-49.73
2024-10,IRV-TS1,Support,N,Support Contract  /  / Contracted,-9.0
2024-11,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-35.92
2024-11,CHD-TS1,Support,N,Support Contract  /  / Contracted,-50.06
2024-11,IRV-TS1,Support,N,Support Contract  /  / Contracted,-14.75
2024-12,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-70.22
2024-12,CHD-TS1,Support,N,Support Contract  /  / Contracted,-60.85
2024-12,IRV-TS1,Support,N,Support Contract  /  / Contracted,-23.42
2025-01,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-56.22
2025-01,CHD-TS1,Support,N,Support Contract  /  / Contracted,-58.01
2025-01,IRV-TS1,Support,N,Support Contract  /  / Contracted,-16.5
2025-02,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-47.26
2025-02,CHD-TS1,Support,N,Support Contract  /  / Contracted,-57.67
2025-02,IRV-TS1,Support,N,Support Contract  /  / Contracted,-5.75
2025-03,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-43.96
2025-03,CHD-TS1,Support,N,Support Contract  /  / Contracted,-68.93
2025-03,IRV-TS1,Support,N,Support Contract  /  / Contracted,-17.67
2025-04,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-48.53
2025-04,CHD-TS1,Support,N,Support Contract  /  / Contracted,-49.78
2025-04,IRV-TS1,Support,N,Support Contract  /  / Contracted,-24.0
2025-05,CHD-TS1,Support,AH,Support Contract  /  / Contracted  /  / After-Hours,-39.0
2025-05,CHD-TS1,Support,N,Support Contract  /  / Contracted,-48.85
